timestamp,spot,wave_surf,rating_rating_key,tides_type,tides_height,rating_rating_value,swells_height,swells_period,wind_directionType,weather_temperature,weather_condition
11am,Tourmo,0-3.0ft,FAIR,NORMAL,-0.36 FT,3.0,2.34134 FT,14.0,Offshore,64.75996 F,NIGHT_OVERCAST
10am,Blacks,0-3.0ft,FAIR,NORMAL,-0.35 FT,3.0,1.49088 FT,14.0,Cross-shore,64.778 F,NIGHT_CLOUDY
10am,Blacks,0-3.0ft,FAIR,LOW,-0.36 FT,3.0,1.49088 FT,14.0,Cross-shore,64.778 F,NIGHT_CLOUDY
10am,Del Mar,0-3.0ft,POOR_TO_FAIR,NORMAL,-0.37 FT,2.0,1.49088 FT,14.0,Cross-shore,64.526 F,NIGHT_CLOUDY
10am,Del Mar,0-3.0ft,POOR_TO_FAIR,LOW,-0.39 FT,2.0,1.49088 FT,14.0,Cross-shore,64.526 F,NIGHT_CLOUDY
10am,LJ Shores,0-3.0ft,POOR_TO_FAIR,NORMAL,-0.35 FT,2.0,1.49088 FT,14.0,Onshore,64.778 F,NIGHT_CLOUDY
10am,LJ Shores,0-3.0ft,POOR_TO_FAIR,LOW,-0.36 FT,2.0,1.49088 FT,14.0,Onshore,64.778 F,NIGHT_CLOUDY
10am,Mission,0-3.0ft,POOR_TO_FAIR,NORMAL,-0.31 FT,2.0,2.31335 FT,14.0,Cross-shore,65.372 F,NIGHT_CLOUDY
10am,Mission,0-3.0ft,POOR_TO_FAIR,LOW,-0.39 FT,2.0,2.31335 FT,14.0,Cross-shore,65.372 F,NIGHT_CLOUDY
10am,OB,0-3.0ft,FAIR,NORMAL,-0.38 FT,3.0,1.18914 FT,4.0,Cross-shore,65.444 F,NIGHT_CLOUDY
10am,OB,0-3.0ft,FAIR,LOW,-0.43 FT,3.0,1.18914 FT,4.0,Cross-shore,65.444 F,NIGHT_CLOUDY
10am,PB,0-3.0ft,FAIR,NORMAL,-0.31 FT,3.0,2.31335 FT,14.0,Cross-shore,65.372 F,NIGHT_CLOUDY
10am,PB,0-3.0ft,FAIR,LOW,-0.39 FT,3.0,2.31335 FT,14.0,Cross-shore,65.372 F,NIGHT_CLOUDY
10am,Scripps,0-3.0ft,POOR_TO_FAIR,NORMAL,-0.35 FT,2.0,1.49088 FT,14.0,Onshore,64.778 F,NIGHT_CLOUDY
10am,Scripps,0-3.0ft,POOR_TO_FAIR,LOW,-0.36 FT,2.0,1.49088 FT,14.0,Onshore,64.778 F,NIGHT_CLOUDY
