timestamp,spot,wave_surf,rating_rating_key,tides_type,tides_height,rating_rating_value,swells_height,swells_period,wind_directionType,weather_temperature,weather_condition
9am,Del Mar,2-3ft,FAIR,NORMAL,3.34 FT,3.0,1.79012 FT,7.0,Onshore,65.51604 F,NIGHT_FOG
9am,Del Mar,2-3ft,FAIR,HIGH,3.38 FT,3.0,1.79012 FT,7.0,Onshore,65.51604 F,NIGHT_FOG
9am,LJ Shores,2-3ft,FAIR,NORMAL,3.29 FT,3.0,1.79012 FT,7.0,Cross-shore,65.33604 F,NIGHT_FOG
9am,LJ Shores,2-3ft,FAIR,HIGH,3.28 FT,3.0,1.79012 FT,7.0,Cross-shore,65.33604 F,NIGHT_FOG
9am,Mission,2-3ft,FAIR,NORMAL,3.45 FT,3.0,2.23038 FT,7.0,Onshore,64.81404 F,NIGHT_FOG
9am,Mission,2-3ft,FAIR,HIGH,3.48 FT,3.0,2.23038 FT,7.0,Onshore,64.81404 F,NIGHT_FOG
9am,OB,3-4ft,FAIR,NORMAL,3.59 FT,2.8333333333333335,2.51545 FT,7.0,Onshore,64.88604 F,NIGHT_FOG
9am,OB,3-4ft,FAIR,HIGH,3.61 FT,2.8333333333333335,2.51545 FT,7.0,Onshore,64.88604 F,NIGHT_FOG
9am,PB,2-3ft,POOR_TO_FAIR,NORMAL,3.45 FT,2.0,2.23038 FT,7.0,Onshore,64.81404 F,NIGHT_FOG
9am,PB,2-3ft,POOR_TO_FAIR,HIGH,3.48 FT,2.0,2.23038 FT,7.0,Onshore,64.81404 F,NIGHT_FOG
9am,Scripps,2-3ft,FAIR,NORMAL,3.29 FT,3.0,1.79012 FT,7.0,Cross-shore,65.33604 F,NIGHT_FOG
9am,Scripps,2-3ft,FAIR,HIGH,3.28 FT,3.0,1.79012 FT,7.0,Cross-shore,65.33604 F,NIGHT_FOG
9am,Tourmo,2-3ft,FAIR,NORMAL,3.45 FT,3.0,2.23038 FT,7.0,Onshore,64.63404 F,NIGHT_FOG
9am,Tourmo,2-3ft,FAIR,HIGH,3.48 FT,3.0,2.23038 FT,7.0,Onshore,64.63404 F,NIGHT_FOG
