timestamp,spot,wave_surf,rating_rating_key,tides_type,tides_height,rating_rating_value,swells_height,swells_period,wind_directionType,weather_temperature,weather_condition
12pm,Scripps,3-4ft,FAIR,LOW,0.07 FT,3.0,2.55331 FT,16.0,Offshore,66.308 F,NIGHT_MOSTLY_CLOUDY
12pm,Tourmo,3-4ft,FAIR,NORMAL,0.43 FT,3.0,2.99432 FT,16.0,Onshore,65.354 F,NIGHT_MOSTLY_CLOUDY
11am,Blacks,5-6ft,FAIR,NORMAL,0.92 FT,3.0,2.57864 FT,16.0,Cross-shore,66.79404 F,NIGHT_CLEAR
11am,Del Mar,4-5ft,FAIR,NORMAL,1.07 FT,3.0,2.57864 FT,16.0,Cross-shore,66.72204 F,NIGHT_MOSTLY_CLOUDY
11am,LJ Shores,3-4ft,FAIR,NORMAL,0.92 FT,3.0,2.57864 FT,16.0,Offshore,66.79404 F,NIGHT_CLEAR
11am,Mission,3-4ft,FAIR,NORMAL,1.37 FT,3.0,2.91467 FT,16.0,Cross-shore,66.43404 F,NIGHT_CLEAR
11am,OB,4-5ft,FAIR,NORMAL,1.22 FT,3.0,3.01444 FT,16.0,Onshore,65.96604 F,NIGHT_CLEAR
11am,PB,4-5ft,FAIR,NORMAL,1.37 FT,3.0,2.91467 FT,16.0,Onshore,66.43404 F,NIGHT_CLEAR
11am,Scripps,3-4ft,FAIR,NORMAL,0.92 FT,3.0,2.57864 FT,16.0,Offshore,66.79404 F,NIGHT_CLEAR
11am,Tourmo,3-4ft,FAIR,NORMAL,1.37 FT,3.0,2.91467 FT,16.0,Onshore,66.18204 F,NIGHT_CLEAR
10am,Blacks,5-6ft,FAIR,NORMAL,2.07 FT,3.0,2.55453 FT,16.0,Cross-shore,66.41596 F,NIGHT_MOSTLY_CLOUDY
10am,Del Mar,4-5ft,FAIR,NORMAL,2.31 FT,3.0,2.55453 FT,16.0,Offshore,66.75796 F,NIGHT_MOSTLY_CLOUDY
10am,LJ Shores,3-4ft,FAIR,NORMAL,2.07 FT,3.0,2.55453 FT,16.0,Onshore,66.41596 F,NIGHT_MOSTLY_CLOUDY
10am,Mission,3-4ft,FAIR,NORMAL,2.62 FT,3.0,2.88465 FT,16.0,Onshore,66.19996 F,NIGHT_CLEAR
10am,OB,4-5ft,FAIR,NORMAL,2.56 FT,3.0,3.14295 FT,16.0,Onshore,65.60596 F,NIGHT_CLEAR
10am,PB,4-5ft,FAIR,NORMAL,2.62 FT,3.0,2.88465 FT,16.0,Cross-shore,66.19996 F,NIGHT_CLEAR
10am,Scripps,3-4ft,FAIR,NORMAL,2.07 FT,3.0,2.55453 FT,16.0,Onshore,66.41596 F,NIGHT_MOSTLY_CLOUDY
10am,Tourmo,3-4ft,FAIR,NORMAL,2.62 FT,3.0,2.88465 FT,16.0,Offshore,65.89396 F,NIGHT_MOSTLY_CLOUDY
9am,Blacks,5-6ft,FAIR,NORMAL,3.39 FT,2.6666666666666665,2.53406 FT,16.0,Onshore,66.272 F,NIGHT_MOSTLY_CLOUDY
9am,Del Mar,4-5ft,FAIR,NORMAL,3.67 FT,3.0,2.53406 FT,16.0,Onshore,66.29 F,NIGHT_MOSTLY_CLOUDY
9am,LJ Shores,3-4ft,FAIR,NORMAL,3.39 FT,3.0,2.53406 FT,16.0,Onshore,66.272 F,NIGHT_MOSTLY_CLOUDY
9am,Mission,3-4ft,FAIR,NORMAL,3.94 FT,3.0,2.98009 FT,16.0,Onshore,65.606 F,NIGHT_CLEAR
9am,OB,4-5ft,FAIR,NORMAL,4.0 FT,3.0,3.11808 FT,16.0,Onshore,65.336 F,NIGHT_CLEAR
9am,PB,4-5ft,FAIR,NORMAL,3.94 FT,3.0,2.98009 FT,16.0,Cross-shore,65.606 F,NIGHT_CLEAR
9am,Scripps,3-4ft,FAIR,NORMAL,3.39 FT,3.0,2.53406 FT,16.0,Onshore,66.272 F,NIGHT_MOSTLY_CLOUDY
9am,Tourmo,3-4ft,FAIR,NORMAL,3.94 FT,3.0,2.98009 FT,16.0,Cross-shore,65.552 F,NIGHT_CLEAR
